type	name	description	unit
inputSim	in1	Input	depends
inputSim	in2	Input	depends
inputSim	in3	Input	depends
inputSim	in4	Input	depends
inputSim	in5	Input	depends
inputSim	in6	Input	depends
inputSim	in7	Input	depends
inputSim	in8	Input	depends
inputSim	in9	Input	depends
inputSim	in10	Input	depends
inputSim	in11	Input	depends
inputSim	in12	Input	depends
inputSim	in13	Input	depends
inputSim	in14	Input	depends
inputSim	in15	Input	depends
inputSim	in16	Input	depends
inputSim	in17	Input	depends
inputSim	in18	Input	depends
inputSim	in19	Input	depends
inputSim	in20	Input	depends
output	out	Aggregated output	depends
